Name,Review_Count,Rating,Prices,Description,Ingredients,Cal,Nutrition,url
Tesco Napkins Cream 33Cm 2Ply 50 Pack,(1),5,1.50,Pack of 50 napkins in cream,"Made in Slovakia, Packed in Slovakia",Nan,Nan,https://www.tesco.com/groceries/en-GB/products/253524618
Tesco Cotton Low Twist Hand Towel Mid Grey,(1),5,3.00,"Super soft low twist towel, great for everyday use.",Nan,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/304635249
Tesco White Dl Envelopes 50 Pack,(26),4,1.00,NA,"Film. Recycle with bags at larger stores
Insert. Widely Recycled",Nan,Nan,https://www.tesco.com/groceries/en-GB/products/265604905
Tesco Vanilla & Honey 27Pk Tealights,(2),1,1.75,SS21 Tesco 27pk Scented Tealights JB,Made in Poland,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/296205795
Miracle Gro Slow Release 1 Kilograms Tub,(27),4.8,5.00,Slow release fertiliser removes the need for regular plant feeding,Nan,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/266202642
Tesco Dinosaurs 2 Sheet 2 Tags,No ratings yet,Nan,1.00,"- 2 Sheets of giftwrap with a bright, bold dinosaur design.",Nan,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/304151344
Tesco Paper Plates Paper Plates,(13),4.9,1.00,Save the washing-up with this disposable plates,25 pk,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/284601396
Tesco Pink Butterfly 2 Sheet 2 Tag,No ratings yet,Nan,1.00,2 Sheets 2 Tags,Produced in China,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/298850270
Tesco Plastic Recyclable Cups 20Cl 50 Pack,No ratings yet,Nan,1.00,Pack of 50 disposable white plastic water cups. Perfect for any occasion.,Nan,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/282118205
Tesco Party Foil Hats 6 Pack,(1),1,1.00,"Tesco Stores Ltd.,",Pad. Mixed Material not currently recycled,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/250132328
Woman,(1),5,1.30,From Strictly to soaps to fashion to beauty - we've got it ALL covered! Take a moment for yourself and catch up on the latest from your favourite stars right through to staying healthy and planning your weeks meals.,Nan,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/295903143
Tesco Squeegee,(66),4.7,1.00,Effectively removes water & prevents unsightly streaks,Nan,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/261811608
Paw Patrol 60 Ml Bubbles,(1),1,0.50,- 60 ml soap bubbles available in different colors,Nan,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/298285420
Rizla Regular Green 50,No ratings yet,Nan,0.30,Manufactured in the EU by Imperial Tobacco Limited.,18 Years,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/299156945
Second Class Stamps Large 4 Pack,No ratings yet,Nan,3.84,Nan,Nan,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/260893794
Silk Cut Purple King Size 100Mp,(1),5,63.75,Nan,18 Years,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/296091265
Duracell Plus AA 12 Pack,(114),4.8,7.50,Pack of 12,Made in Belgium,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/274848787
Energizer Max AAA 12 Pack,No ratings yet,Nan,5.00,Alkaline AAA Batteries,Made in Singapore,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/277861472
Silk Cut 100'S 20 Pack,No ratings yet,Nan,13.35,Nan,18 Years,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/295626281
Duracell Speciality 2032 2 Pack,(27),5,5.00,3V,Made in Indonesia,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/267489906
Dunhill International 20 Pack,(3),5,13.30,Nan,Nan,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/294779390
Tesco Brushed Chrome Toilet Brush,(45),3.4,4.00,Nylon bristle for brush & cup for longevity,Nan,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/277859297
Energizer Max AAA 4 Pack,No ratings yet,Nan,3.75,4-pack of Energizer MAX® Alkaline AAA batteries,Made in Singapore,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/252678399
Staedtler Noris 10 Hb Pencils Eraser/Sharpner,(61),4.8,2.30,Set of Noris HB pencils  \n ,Nan,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/255505548
Mayfair King Size White 20 Pack,(2),4.5,10.45,Nan,18 Years,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/295175335
Round Up Speed Natural 1L Ready To Use,(3),3,5.00,Speed Ultra Weedkiller,Protect from frost,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/302970351
L&B Blue Longer Lasting Superkings 20 Pack,(1),5,9.29,Manufactured in the EU by Imperial Tobacco Limited.,18 Years,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/295373786
Richmond Superkings Real Blue 20 Pack,No ratings yet,Nan,11.25,Manufactured in the EU by Imperial Tobacco Limited.,18 Years,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/295349044
Jps Superkings Real Blue 20 Pack,No ratings yet,Nan,10.14,Manufactured in the EU by Imperial Tobacco Limited.,18 Years,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/295362557
Sterling Kingsize 20 Pack,No ratings yet,Nan,10.14,Nan,18 Years,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/296131363
Mayfair Superkings 20 Pack,No ratings yet,Nan,10.45,Nan,18 Years,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/294766162
Players Green Filter Superkings Cigarettes 20 Pack,(3),2,9.29,PLAYERS GREEN FLTR SUPERKINGS CIGARETTES 20 PK ,18 Years,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/305982689
Tesco Oven Tray 31Cm X 21Cm,(2),4.5,2.50,Dimensions: 31cm x 21cm.,Nan,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/295157150
Bic Cristal Pens Black 10 Pack,(58),4.8,2.00,Black ink,10 x Pens,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/263331384
